身份证号,姓名,联系电话,性别,出生日期,居住地,进入居住地时间,离开居住地时间
302715200312170675,唐念厌,15214557746,男,2003-12-17,北航家属院,2022-07-27,2022-11-04
783065194802101783,黄歼听,15994003646,男,1948-02-10,北航家属院,2022-08-26,2022-08-29
868590196211259527,郭天,14781760389,男,1962-11-25,北航家属院,2022-09-18,暂未离开
645361198111158710,康艳强,13643953439,男,1981-11-15,北航家属院,2022-01-30,暂未离开
301625197810040486,仲孙伸,17760831601,男,1978-10-04,北航家属院,2022-04-23,暂未离开
716483200501155736,诸葛此似,13334204749,男,2005-01-15,北航家属院,2022-06-18,暂未离开
290274198309158095,仲孙袜,17720692892,女,1983-09-15,北航家属院,2022-09-18,暂未离开
358379194510108412,贺丽,17290650038,男,1945-10-10,北航家属院,2022-03-04,2022-09-20
235271197408283416,欧阳盯课,13001977772,女,1974-08-28,北航家属院,2022-11-29,2022-12-04
761459199111155304,龚浩克,18802928087,女,1991-11-15,北航家属院,2022-02-15,暂未离开
648106196304085827,曹梢垂,17524028537,男,1963-04-08,北航家属院,2022-07-21,2022-07-30
559621194804218423,韩掩输,13466237360,女,1948-04-21,北航家属院,2022-06-11,2022-10-21
891608195402235497,梁迫,13965583388,男,1954-02-23,北航家属院,2022-07-14,暂未离开
815726196406071908,潘尤,18363724598,男,1964-06-07,北航家属院,2022-02-13,2022-10-18
783690197206082064,澹台赖,15658891186,男,1972-06-08,北航家属院,2022-04-10,暂未离开
436791198305125096,范估读,17141280327,男,1983-05-12,北航家属院,2022-02-01,2022-09-22
736129200710237049,江传,15528657387,男,2007-10-23,北航家属院,2022-12-06,2022-12-10
856423196907319568,王梓,17862557717,男,1969-07-31,北航家属院,2022-11-19,暂未离开
407328198410025218,闻人巴戚,14525218339,女,1984-10-02,北航家属院,2022-10-26,暂未离开
595263200312130169,夏侯员,15723391847,女,2003-12-13,北航家属院,2022-05-19,2022-09-25
641093194409282598,余梅,15052802692,女,1944-09-28,北航家属院,2022-02-21,暂未离开
